City,State,LATITUDE,LONGITUDE,Country
Vitória da Conquista,BA,"-14,848005","-40,839810",Brazil
Itaquaquecetuba,SP,"-23,476898","-46,351603",Brazil
Rio Branco,AC,"-9,978299","-67,810529",Brazil
Blumenau,SC,"-26,916108","-49,057631",Brazil
Ponta Grossa,PR,"-25,092547","-50,161442",Brazil
Caucaia,CE,"-3,736487","-38,664018",Brazil
Cariacica,ES,"-20,294678","-40,390559",Brazil
Franca,SP,"-20,536097","-47,402332",Brazil
Olinda,PE,"-7,992660","-34,861310",Brazil
Praia Grande,SP,"-24,003022","-46,412050",Brazil
Cascavel,PR,"-4,131434","-38,239686",Brazil
Canoas,RS,"-29,918697","-51,181030",Brazil
Paulista,PE,"-6,594062","-37,621056",Brazil
Uberaba,MG,"-19,713535","-47,983625",Brazil
Santarém,PA,"-2,436213","-54,718570",Brazil
São Vicente,SP,"-6,214964","-36,688662",Brazil
Ribeirão das Neves,MG,"-19,766022","-44,085824",Brazil
São José dos Pinhais,PR,"-25,537702","-49,200082",Brazil
Pelotas,RS,"-31,719598","-52,344320",Brazil
Vitória,ES,"-20,320154","-40,322209",Brazil
Barueri,SP,"-23,508902","-46,874653",Brazil
Taubaté,SP,"-23,026556","-45,556609",Brazil
Suzano,SP,"-23,536828","-46,307810",Brazil
Palmas,TO,"-10,163253","-48,351044",Brazil
Camaçari,BA,"-12,698817","-38,325740",Brazil
Várzea Grande,MT,"-6,542948","-42,253102",Brazil
Limeira,SP,"-22,562194","-47,401940",Brazil
Guarujá,SP,"-23,995149","-46,249034",Brazil
Juazeiro do Norte,CE,"-7,210766","-39,316993",Brazil
Foz do Iguaçu,PR,"-25,542493","-54,587102",Brazil
Sumaré,SP,"-22,822145","-47,265803",Brazil
Petrópolis,RJ,"-22,510599","-43,177337",Brazil
Cotia,SP,"-23,603514","-46,931846",Brazil
Taboão da Serra,SP,"-23,623329","-46,785780",Brazil
Imperatriz,MA,"-5,526524","-47,479811",Brazil
Santa Maria,RS,"-5,838519","-35,690364",Brazil
São José,SC,"-27,590312","-48,616023",Brazil
Parauapebas,PA,"-6,072730","-49,900781",Brazil
Marabá,PA,"-5,352606","-49,142025",Brazil
Gravataí,RS,"-29,945519","-50,990793",Brazil
Mossoró,RN,"-5,193801","-37,356874",Brazil
Itajaí,SC,"-26,907426","-48,657023",Brazil
Volta Redonda,RJ,"-22,509968","-44,093522",Brazil
Governador Valadares,MG,"-18,852882","-41,947081",Brazil
Indaiatuba,SP,"-23,081646","-47,212309",Brazil
São Carlos,SP,"-22,015999","-47,889238",Brazil
Chapecó,SC,"-27,106837","-52,617031",Brazil
Parnamirim,RN,"-5,910370","-35,259209",Brazil
Macaé,RJ,"-22,368705","-41,775064",Brazil
Rondonópolis,MT,"-16,470163","-54,633587",Brazil
São José de Ribamar,MA,"-2,555859","-44,057548",Brazil
Dourados,MS,"-22,227236","-54,811289",Brazil
Araraquara,SP,"-21,790360","-48,174440",Brazil
Jacareí,SP,"-23,304880","-45,969593",Brazil
Juazeiro,BA,"-9,410717","-40,503552",Brazil
Marília,SP,"-22,214933","-49,951646",Brazil
Americana,SP,"-22,740884","-47,330363",Brazil
Hortolândia,SP,"-22,858395","-47,221097",Brazil
Arapiraca,AL,"-9,755907","-36,657297",Brazil
Maracanaú,CE,"-3,876964","-38,624419",Brazil
Itapevi,SP,"-23,546934","-46,933373",Brazil
Colombo,PR,"-25,294340","-49,227438",Brazil
Divinópolis,MG,"-20,142074","-44,893886",Brazil
Magé,RJ,"-22,654349","-43,040246",Brazil
Ipatinga,MG,"-19,481032","-42,520351",Brazil
Novo Hamburgo,RS,"-29,686326","-51,128605",Brazil
Sete Lagoas,MG,"-19,458287","-44,239595",Brazil
Rio Verde,GO,"-17,794543","-50,929681",Brazil
Águas Lindas de Goiás,GO,"-15,737939","-48,283444",Brazil
Presidente Prudente,SP,"-22,122744","-51,386766",Brazil
Itaboraí,RJ,"-22,745863","-42,860343",Brazil
Viamão,RS,"-30,081897","-51,024820",Brazil
Palhoça,SC,"-27,647044","-48,670288",Brazil
Cabo Frio,RJ,"-22,880765","-42,020075",Brazil
Santa Luzia,MG,"-3,968391","-45,665012",Brazil
São Leopoldo,RS,"-29,765867","-51,146235",Brazil
Criciúma,SC,"-28,673572","-49,365940",Brazil
Luziânia,GO,"-16,258541","-47,955720",Brazil
Passo Fundo,RS,"-28,261767","-52,407095",Brazil
Cabo de Santo Agostinho,PE,"-8,289864","-35,038489",Brazil
Lauro de Freitas,BA,"-12,896718","-38,323462",Brazil
